 # i,    taui (ni),  alpha ;   j,    tauj  (nj),   beta  :   term  group   rij 
   1  [    1 ( 0, 0, 0) ] 2    33  [    1 ( 0,-1, 0) ] 3  :    57   11    6.280
   1  [    1 ( 0, 0, 0) ] 2    38  [    1 ( 0, 1, 0) ] 3  :    64   11    4.778
   1  [    1 ( 0, 0, 0) ] 2    20  [    1 ( 0, 1,-1) ] 1  :    68   11    7.058
   1  [    1 ( 0, 0, 0) ] 2    17  [    1 ( 0,-1, 1) ] 1  :    73   11    4.778
   1  [    1 ( 0, 0, 0) ] 2    51  [    1 ( 0, 0,-1) ] 3  :    85   11    8.523
   1  [    1 ( 0, 0, 0) ] 2    53  [    1 ( 0, 0, 1) ] 3  :    96   11    8.150
   1  [    1 ( 0, 0, 0) ] 2    19  [    1 (-1, 0, 0) ] 2  :     1   12    7.486
   1  [    1 ( 0, 0, 0) ] 2    18  [    1 ( 1, 0, 0) ] 2  :     4   12    5.763
   1  [    1 ( 0, 0, 0) ] 2    55  [    1 (-1, 1, 0) ] 2  :    21   12    7.058
   1  [    1 ( 0, 0, 0) ] 2    49  [    1 ( 1,-1, 0) ] 2  :    24   12    8.523
   1  [    1 ( 0, 0, 0) ] 2    17  [    1 ( 0,-1, 1) ] 2  :    33   12    4.778
   1  [    1 ( 0, 0, 0) ] 2    20  [    1 ( 0, 1,-1) ] 2  :    36   12    7.058
   1  [    1 ( 0, 0, 0) ] 2    51  [    1 ( 0, 0,-1) ] 2  :    45   12    8.523
   1  [    1 ( 0, 0, 0) ] 2    53  [    1 ( 0, 0, 1) ] 2  :    48   12    8.150
   1  [    1 ( 0, 0, 0) ] 2    19  [    1 (-1, 0, 0) ] 3  :     1   13    7.486
   1  [    1 ( 0, 0, 0) ] 2    18  [    1 ( 1, 0, 0) ] 3  :     8   13    5.763
   1  [    1 ( 0, 0, 0) ] 2    49  [    1 ( 1,-1, 0) ] 1  :    20   13    8.523
   1  [    1 ( 0, 0, 0) ] 2    55  [    1 (-1, 1, 0) ] 1  :    21   13    7.058
   1  [    1 ( 0, 0, 0) ] 2    17  [    1 ( 0,-1, 1) ] 3  :    33   13    4.778
   1  [    1 ( 0, 0, 0) ] 2    20  [    1 ( 0, 1,-1) ] 3  :    40   13    7.058
   1  [    1 ( 0, 0, 0) ] 2    53  [    1 ( 0, 0, 1) ] 1  :    44   13    8.150
   1  [    1 ( 0, 0, 0) ] 2    51  [    1 ( 0, 0,-1) ] 1  :    45   13    8.523
   1  [    1 ( 0, 0, 0) ] 2    29  [    2 ( 0, 0, 1) ] 2  :     5   14    6.280
   1  [    1 ( 0, 0, 0) ] 2    58  [    2 ( 1, 0, 0) ] 2  :    17   14    8.523
   1  [    1 ( 0, 0, 0) ] 2    44  [    2 (-2, 0, 0) ] 2  :    25   14    6.280
   1  [    1 ( 0, 0, 0) ] 2    15  [    2 (-2, 1, 0) ] 2  :    45   14    4.778
   1  [    1 ( 0, 0, 0) ] 2    26  [    2 ( 0,-2, 1) ] 2  :    57   14    4.075
   1  [    1 ( 0, 0, 0) ] 2    47  [    2 ( 0, 0,-2) ] 2  :    69   14    7.486
   1  [    1 ( 0, 0, 0) ] 2    12  [    2 ( 0, 1,-2) ] 2  :    73   14    4.075
   1  [    1 ( 0, 0, 0) ] 2    61  [    2 ( 1,-2, 0) ] 2  :    85   14    6.280
   1  [    1 ( 0, 0, 0) ] 2    29  [    2 ( 0, 0, 1) ] 1  :     5   15    6.280
   1  [    1 ( 0, 0, 0) ] 2    58  [    2 ( 1, 0, 0) ] 3  :    17   15    8.523
   1  [    1 ( 0, 0, 0) ] 2    44  [    2 (-2, 0, 0) ] 3  :    25   15    6.280
   1  [    1 ( 0, 0, 0) ] 2    15  [    2 (-2, 1, 0) ] 1  :    45   15    4.778
   1  [    1 ( 0, 0, 0) ] 2    26  [    2 ( 0,-2, 1) ] 3  :    57   15    4.075
   1  [    1 ( 0, 0, 0) ] 2    47  [    2 ( 0, 0,-2) ] 1  :    69   15    7.486
   1  [    1 ( 0, 0, 0) ] 2    12  [    2 ( 0, 1,-2) ] 3  :    73   15    4.075
   1  [    1 ( 0, 0, 0) ] 2    61  [    2 ( 1,-2, 0) ] 1  :    85   15    6.280
   1  [    1 ( 0, 0, 0) ] 2    29  [    2 ( 0, 0, 1) ] 3  :     5   16    6.280
   1  [    1 ( 0, 0, 0) ] 2    14  [    2 ( 0, 1, 0) ] 1  :    21   16    5.763
   1  [    1 ( 0, 0, 0) ] 2    14  [    2 ( 0, 1, 0) ] 3  :    25   16    5.763
   1  [    1 ( 0, 0, 0) ] 2    58  [    2 ( 1, 0, 0) ] 1  :    41   16    8.523
   1  [    1 ( 0, 0, 0) ] 2    44  [    2 (-2, 0, 0) ] 1  :    57   16    6.280
   1  [    1 ( 0, 0, 0) ] 2    32  [    2 (-2, 0, 1) ] 1  :    69   16    4.075
   1  [    1 ( 0, 0, 0) ] 2    32  [    2 (-2, 0, 1) ] 3  :    73   16    4.075
   1  [    1 ( 0, 0, 0) ] 2    15  [    2 (-2, 1, 0) ] 3  :    85   16    4.778
   1  [    1 ( 0, 0, 0) ] 2    46  [    2 ( 0,-2, 0) ] 1  :   101   16    5.763
   1  [    1 ( 0, 0, 0) ] 2    46  [    2 ( 0,-2, 0) ] 3  :   105   16    5.763
   1  [    1 ( 0, 0, 0) ] 2    26  [    2 ( 0,-2, 1) ] 1  :   121   16    4.075
   1  [    1 ( 0, 0, 0) ] 2    47  [    2 ( 0, 0,-2) ] 3  :   133   16    7.486
   1  [    1 ( 0, 0, 0) ] 2    12  [    2 ( 0, 1,-2) ] 1  :   153   16    4.075
   1  [    1 ( 0, 0, 0) ] 2    61  [    2 ( 1,-2, 0) ] 3  :   165   16    6.280
   1  [    1 ( 0, 0, 0) ] 2    64  [    2 ( 1, 0,-2) ] 1  :   181   16    8.523
   1  [    1 ( 0, 0, 0) ] 2    64  [    2 ( 1, 0,-2) ] 3  :   185   16    8.523
   1  [    1 ( 0, 0, 0) ] 2    14  [    2 ( 0, 1, 0) ] 2  :     5   17    5.763
   1  [    1 ( 0, 0, 0) ] 2    32  [    2 (-2, 0, 1) ] 2  :    17   17    4.075
