 nk, la, al, be, mode_kap, mode_kap_RTA
          50           1           1           2 -0.6562E-14 -0.5695E-19
          51           1           1           2 -0.9821E-02 -0.8927E-02
          52           1           1           2 -0.1458E-01  0.1106E-12
          53           1           1           2 -0.5645E-15  0.1909E-24
          54           1           1           2  0.2473E-01  0.2196E-01
          55           1           1           2 -0.2935E-01 -0.7198E-01
          56           1           1           2  0.9069E-02  0.2196E-01
          57           1           1           2 -0.1108E-01 -0.2310E-01
          58           1           1           2  0.1454E-01 -0.4424E-13
          59           1           1           2 -0.1039     -0.2730    
          60           1           1           2  0.3134E-12  0.6455E-12
          61           1           1           2  0.3049E-01  0.7198E-01
          62           1           1           2  0.9558E-02  0.8487E-02
          63           1           1           2 -0.9672E-14  -0.000    
          64           1           1           2  0.1039      0.2730    
           1           2           1           2  0.8935E-17  0.6482E-24
           2           2           1           2  0.1902E-01  0.2008E-01
           3           2           1           2 -0.4399E-16  0.6795E-25
           4           2           1           2  0.1901E-01  0.2008E-01
           5           2           1           2  0.9455E-01  0.9293E-01
           6           2           1           2  -0.000      -0.000    
           7           2           1           2 -0.2328E-01 -0.2008E-01
           8           2           1           2 -0.5693E-08  0.9235E-18
           9           2           1           2 -0.2231E-15 -0.5824E-25
          10           2           1           2 -0.9455E-01 -0.9293E-01
          11           2           1           2 -0.7446E-18 -0.5402E-25
          12           2           1           2 -0.9735E-01 -0.9234E-01
          13           2           1           2  0.9450E-01  0.9293E-01
          14           2           1           2  0.2584E-08 -0.1539E-18
          15           2           1           2 -0.2207E-01 -0.1996E-01
          16           2           1           2  0.2576E-12  0.2382E-12
          17           2           1           2  0.8801E-01  0.9293E-01
          18           2           1           2 -0.1637E-01   0.000    
          19           2           1           2 -0.1902E-01 -0.2008E-01
          20           2           1           2 -0.2619E-14  0.9235E-18
          21           2           1           2  0.3967      0.3668    
          22           2           1           2  0.2528      0.3396    
          23           2           1           2 -0.1510E-13  0.1055E-24
          24           2           1           2  0.1902E-01  0.2008E-01
          25           2           1           2  0.9455E-01  0.9293E-01
          26           2           1           2  0.1695E-12  0.3744E-12
          27           2           1           2 -0.2529     -0.3397    
          28           2           1           2  0.1637E-01  -0.000    
          29           2           1           2  0.7520E-15 -0.4479E-25
          30           2           1           2 -0.9455E-01 -0.9293E-01
          31           2           1           2 -0.3967     -0.3668    
          32           2           1           2 -0.8801E-01 -0.9293E-01
          33           2           1           2 -0.6998E-17  0.5824E-25
          34           2           1           2 -0.8801E-01 -0.9293E-01
          35           2           1           2 -0.3770E-16 -0.5402E-25
          36           2           1           2 -0.1038     -0.9233E-01
          37           2           1           2  0.1077      0.9293E-01
          38           2           1           2  0.6372E-02 -0.3744E-12
          39           2           1           2 -0.2392     -0.3397    
          40           2           1           2   0.000       0.000    
          41           2           1           2  0.1545E-16  0.6482E-24
          42           2           1           2  0.2578      0.3396    
          43           2           1           2  -0.000      -0.000    
          44           2           1           2  0.2392      0.3397    
          45           2           1           2  0.1021      0.9234E-01
          46           2           1           2  -0.000      -0.000    
          47           2           1           2 -0.2578     -0.3396    
          48           2           1           2 -0.6372E-02  0.3744E-12
          49           2           1           2  0.8795E-01  0.9293E-01
          50           2           1           2  0.4364E-15 -0.1539E-18
          51           2           1           2 -0.2243E-01 -0.1996E-01
          52           2           1           2  0.1602E-01  0.2382E-12
          53           2           1           2 -0.2761E-15  0.4479E-25
          54           2           1           2 -0.1077     -0.9293E-01
          55           2           1           2 -0.4172     -0.3668    
          56           2           1           2 -0.9455E-01 -0.9293E-01
          57           2           1           2  0.9735E-01  0.9234E-01
          58           2           1           2 -0.1637E-01   0.000    
          59           2           1           2 -0.2528     -0.3396    
          60           2           1           2 -0.1695E-12 -0.3744E-12
          61           2           1           2  0.3966      0.3668    
          62           2           1           2  0.2328E-01  0.2008E-01
          63           2           1           2  0.1510E-13 -0.1055E-24
          64           2           1           2  0.2528      0.3396    
           1           3           1           2  0.3440E-16  0.5325E-26
           2           3           1           2  0.3710E-02  0.7083E-02
           3           3           1           2  0.2577E-16 -0.1050E-24
           4           3           1           2  0.3633E-02  0.7083E-02
           5           3           1           2  0.6452E-02  0.1901E-01
           6           3           1           2 -0.1937E-13 -0.2112E-13
           7           3           1           2 -0.4308E-02 -0.7083E-02
           8           3           1           2  0.2253E-11  0.6906E-22
           9           3           1           2 -0.2399E-16  0.5248E-25
          10           3           1           2 -0.6452E-02 -0.1901E-01
          11           3           1           2  0.8601E-17  0.1331E-26
          12           3           1           2 -0.1263E-01 -0.1938E-01
          13           3           1           2  0.6490E-02  0.1901E-01
          14           3           1           2 -0.3090E-11  0.1381E-22
          15           3           1           2 -0.4120E-02 -0.7220E-02
          16           3           1           2 -0.6473E-14 -0.7042E-14
          17           3           1           2  0.9959E-02  0.1901E-01
          18           3           1           2 -0.5319E-02  0.2112E-13
          19           3           1           2 -0.3710E-02 -0.7083E-02
          20           3           1           2 -0.3115E-14  0.6906E-22
          21           3           1           2  0.7102E-01  0.7747E-01
          22           3           1           2  0.8889      0.8998    
          23           3           1           2  0.1604E-13 -0.1999E-25
          24           3           1           2  0.3710E-02  0.7083E-02
          25           3           1           2  0.6452E-02  0.1901E-01
          26           3           1           2  0.4506E-12  0.4367E-12
          27           3           1           2 -0.8889     -0.8998    
          28           3           1           2  0.5319E-02 -0.2112E-13
          29           3           1           2 -0.6243E-15  0.2790E-26
          30           3           1           2 -0.6452E-02 -0.1901E-01
          31           3           1           2 -0.7102E-01 -0.7747E-01
          32           3           1           2 -0.9959E-02 -0.1901E-01
          33           3           1           2 -0.1585E-16 -0.5248E-25
          34           3           1           2 -0.9959E-02 -0.1901E-01
          35           3           1           2 -0.4745E-17  0.1331E-26
          36           3           1           2 -0.1178E-01 -0.1938E-01
          37           3           1           2  0.1156E-01  0.1901E-01
          38           3           1           2 -0.4880E-01 -0.4367E-12
          39           3           1           2 -0.8555     -0.8998    
          40           3           1           2  0.2448E-13  0.2112E-13
          41           3           1           2  0.4605E-17  0.5325E-26
          42           3           1           2  0.8739      0.8998    
          43           3           1           2  -0.000      -0.000    
          44           3           1           2  0.8555      0.8998    
          45           3           1           2  0.1106E-01  0.1938E-01
          46           3           1           2 -0.1937E-13 -0.2112E-13
          47           3           1           2 -0.8739     -0.8998    
          48           3           1           2  0.4880E-01  0.4367E-12
          49           3           1           2  0.9752E-02  0.1901E-01
          50           3           1           2 -0.6230E-15  0.1381E-22
          51           3           1           2 -0.4390E-02 -0.7220E-02
          52           3           1           2  0.5530E-02 -0.7042E-14
          53           3           1           2 -0.9103E-16 -0.2790E-26
          54           3           1           2 -0.1156E-01 -0.1901E-01
          55           3           1           2 -0.8977E-01 -0.7747E-01
          56           3           1           2 -0.6452E-02 -0.1901E-01
          57           3           1           2  0.1263E-01  0.1938E-01
          58           3           1           2 -0.5319E-02  0.2112E-13
          59           3           1           2 -0.8889     -0.8998    
          60           3           1           2 -0.4506E-12 -0.4367E-12
          61           3           1           2  0.7121E-01  0.7747E-01
          62           3           1           2  0.4308E-02  0.7083E-02
