 nk, la, al, be, mode_kap, mode_kap_RTA
          62           1           1           2  0.1511E-01  0.8486E-02
          63           1           1           2  0.3327E-13  -0.000    
          64           1           1           2  0.4039      0.2730    
           1           2           1           2 -0.3268E-14  0.1350E-24
           2           2           1           2  0.1279E-01  0.2008E-01
           3           2           1           2 -0.9948E-16  0.4756E-25
           4           2           1           2  0.1261E-01  0.2008E-01
           5           2           1           2  0.9089E-01  0.9293E-01
           6           2           1           2  0.5317E-14  0.4963E-14
           7           2           1           2 -0.1943E-01 -0.2008E-01
           8           2           1           2 -0.3048E-24 -0.7478E-35
           9           2           1           2  0.1392E-14 -0.4077E-25
          10           2           1           2 -0.9089E-01 -0.9293E-01
          11           2           1           2 -0.3268E-14  0.1350E-24
          12           2           1           2 -0.9613E-01 -0.9234E-01
          13           2           1           2  0.9139E-01  0.9293E-01
          14           2           1           2  0.4422E-24  0.1246E-35
          15           2           1           2 -0.2032E-01 -0.1996E-01
          16           2           1           2 -0.1233E-29 -0.1149E-29
          17           2           1           2  0.5919E-01  0.9293E-01
          18           2           1           2  0.1265E-01   0.000    
          19           2           1           2 -0.1279E-01 -0.2008E-01
          20           2           1           2 -0.1161E-14  0.1347E-18
          21           2           1           2  0.3930      0.3668    
          22           2           1           2  0.4364      0.3396    
          23           2           1           2 -0.1319E-13 -0.7914E-25
          24           2           1           2  0.1279E-01  0.2008E-01
          25           2           1           2  0.9089E-01  0.9293E-01
          26           2           1           2 -0.3649E-12 -0.2808E-12
          27           2           1           2 -0.4364     -0.3396    
          28           2           1           2 -0.1265E-01  -0.000    
          29           2           1           2 -0.2317E-14 -0.6532E-26
          30           2           1           2 -0.9089E-01 -0.9293E-01
          31           2           1           2 -0.3930     -0.3668    
          32           2           1           2 -0.5919E-01 -0.9293E-01
          33           2           1           2   0.000      -0.000    
          34           2           1           2 -0.5919E-01 -0.9293E-01
          35           2           1           2   0.000      -0.000    
          36           2           1           2 -0.7537E-01 -0.9233E-01
          37           2           1           2  0.8988E-01  0.9293E-01
          38           2           1           2 -0.1176E-01 -0.3744E-12
          39           2           1           2 -0.3919     -0.3396    
          40           2           1           2 -0.5437E-14 -0.4963E-14
          41           2           1           2  -0.000       0.000    
          42           2           1           2  0.4180      0.3396    
          43           2           1           2  -0.000      -0.000    
          44           2           1           2  0.3919      0.3396    
          45           2           1           2  0.9402E-01  0.9234E-01
          46           2           1           2  0.5317E-14  0.4963E-14
          47           2           1           2 -0.4180     -0.3396    
          48           2           1           2  0.1176E-01  0.3744E-12
          49           2           1           2  0.5834E-01  0.9293E-01
          50           2           1           2 -0.3300E-31  0.3829E-35
          51           2           1           2 -0.1629E-01 -0.1996E-01
          52           2           1           2 -0.9004E-02  0.2382E-12
          53           2           1           2 -0.4543E-31 -0.1114E-41
          54           2           1           2 -0.8988E-01 -0.9293E-01
          55           2           1           2 -0.4019     -0.3668    
          56           2           1           2 -0.9089E-01 -0.9293E-01
          57           2           1           2  0.9613E-01  0.9234E-01
          58           2           1           2  0.1265E-01   0.000    
          59           2           1           2 -0.4364     -0.3396    
          60           2           1           2  0.3649E-12  0.2808E-12
          61           2           1           2  0.3937      0.3668    
          62           2           1           2  0.1943E-01  0.2008E-01
          63           2           1           2  0.1319E-13  0.7914E-25
          64           2           1           2  0.4364      0.3396    
           1           3           1           2  0.7552E-16 -0.9985E-27
           2           3           1           2  0.5833E-02  0.7083E-02
           3           3           1           2  0.2531E-15 -0.3499E-25
           4           3           1           2  0.5427E-02  0.7083E-02
           5           3           1           2  0.9958E-02  0.1901E-01
           6           3           1           2  0.4428E-14  0.6455E-14
           7           3           1           2 -0.6304E-02 -0.7083E-02
           8           3           1           2  0.2379E-27  0.1246E-38
           9           3           1           2  0.3218E-15  0.1749E-25
          10           3           1           2 -0.9958E-02 -0.1901E-01
          11           3           1           2  0.7552E-16 -0.9985E-27
          12           3           1           2 -0.1329E-01 -0.1938E-01
          13           3           1           2  0.1045E-01  0.1901E-01
          14           3           1           2 -0.1360E-27  0.2492E-39
          15           3           1           2 -0.3012E-02 -0.7220E-02
          16           3           1           2 -0.7299E-31 -0.1030E-30
          17           3           1           2  0.1566E-01  0.1901E-01
          18           3           1           2 -0.8245E-02  0.2112E-13
          19           3           1           2 -0.5833E-02 -0.7083E-02
          20           3           1           2  0.9860E-15 -0.1151E-22
          21           3           1           2  0.5314E-01  0.7747E-01
          22           3           1           2  0.7774      0.8998    
          23           3           1           2  0.9469E-14 -0.1332E-25
          24           3           1           2  0.5833E-02  0.7083E-02
          25           3           1           2  0.9958E-02  0.1901E-01
          26           3           1           2  0.2974E-12  0.2912E-12
          27           3           1           2 -0.7774     -0.8998    
          28           3           1           2  0.8245E-02 -0.2112E-13
          29           3           1           2  0.2539E-15 -0.4650E-27
          30           3           1           2 -0.9958E-02 -0.1901E-01
          31           3           1           2 -0.5314E-01 -0.7747E-01
          32           3           1           2 -0.1566E-01 -0.1901E-01
          33           3           1           2  -0.000      -0.000    
          34           3           1           2 -0.1566E-01 -0.1901E-01
          35           3           1           2  0.9844E-32  0.4861E-43
          36           3           1           2 -0.6102E-02 -0.1938E-01
          37           3           1           2  0.1692E-01  0.1901E-01
          38           3           1           2 -0.4320E-01 -0.4367E-12
          39           3           1           2 -0.7997     -0.8998    
          40           3           1           2 -0.6279E-14 -0.6455E-14
          41           3           1           2 -0.7833E-32  0.1944E-42
          42           3           1           2  0.7995      0.8998    
          43           3           1           2   0.000      -0.000    
          44           3           1           2  0.7997      0.8998    
          45           3           1           2  0.8084E-02  0.1938E-01
          46           3           1           2  0.4428E-14  0.6455E-14
          47           3           1           2 -0.7995     -0.8998    
          48           3           1           2  0.4320E-01  0.4367E-12
          49           3           1           2  0.1457E-01  0.1901E-01
          50           3           1           2  0.8600E-31 -0.1004E-38
          51           3           1           2 -0.2273E-02 -0.7220E-02
          52           3           1           2  0.9892E-02 -0.7042E-14
          53           3           1           2  0.3872E-31  0.2028E-42
          54           3           1           2 -0.1692E-01 -0.1901E-01
          55           3           1           2 -0.7535E-01 -0.7747E-01
          56           3           1           2 -0.9958E-02 -0.1901E-01
          57           3           1           2  0.1329E-01  0.1938E-01
          58           3           1           2 -0.8245E-02  0.2112E-13
          59           3           1           2 -0.7774     -0.8998    
          60           3           1           2 -0.2974E-12 -0.2912E-12
          61           3           1           2  0.5489E-01  0.7747E-01
          62           3           1           2  0.6304E-02  0.7083E-02
          63           3           1           2 -0.9469E-14  0.1332E-25
          64           3           1           2  0.7774      0.8998    
           1           4           1           2  0.9050E-17  -0.000    
           2           4           1           2  0.1902      0.1696    
