 #junk,om(i),total_dos(i),integrate_dos(i),tretrados(test)
0.50615       ,    1.8309       ,    2.2112       ,    0.0000    
0.50940       ,    1.8767       ,    2.2173       ,    0.0000    
0.51264       ,    1.9265       ,    2.2235       ,    0.0000    
0.51588       ,    1.9794       ,    2.2299       ,    0.0000    
0.51913       ,    2.0345       ,    2.2365       ,    0.0000    
0.52237       ,    2.0912       ,    2.2433       ,    0.0000    
0.52562       ,    2.1495       ,    2.2502       ,    0.0000    
0.52886       ,    2.2093       ,    2.2574       ,    0.0000    
0.53210       ,    2.2719       ,    2.2647       ,    0.0000    
0.53535       ,    2.3456       ,    2.2723       ,    0.0000    
0.53859       ,    2.4263       ,    2.2801       ,    0.0000    
0.54184       ,    2.4901       ,    2.2882       ,    0.0000    
0.54508       ,    2.5659       ,    2.2965       ,    0.0000    
0.54832       ,    2.6395       ,    2.3050       ,    0.0000    
0.55157       ,    2.7141       ,    2.3138       ,    0.0000    
0.55481       ,    2.8013       ,    2.3229       ,    0.0000    
0.55806       ,    2.8978       ,    2.3322       ,    0.0000    
0.56130       ,    3.0024       ,    2.3419       ,    0.0000    
0.56454       ,    3.1192       ,    2.3520       ,    0.0000    
0.56779       ,    3.2342       ,    2.3625       ,    0.0000    
0.57103       ,    3.3365       ,    2.3733       ,    0.0000    
0.57428       ,    3.4464       ,    2.3844       ,    0.0000    
0.57752       ,    3.5901       ,    2.3960       ,    0.0000    
0.58076       ,    3.7349       ,    2.4081       ,    0.0000    
0.58401       ,    3.8816       ,    2.4206       ,    0.0000    
0.58725       ,    4.0338       ,    2.4337       ,    0.0000    
0.59050       ,    4.2459       ,    2.4474       ,    0.0000    
0.59374       ,    4.4801       ,    2.4619       ,    0.0000    
0.59698       ,    4.6719       ,    2.4770       ,    0.0000    
0.60023       ,    4.9016       ,    2.4928       ,    0.0000    
0.60347       ,    5.1771       ,    2.5096       ,    0.0000    
0.60671       ,    5.5064       ,    2.5274       ,    0.0000    
0.60996       ,    5.8759       ,    2.5464       ,    0.0000    
0.61320       ,    6.3676       ,    2.5670       ,    0.0000    
0.61645       ,    7.0674       ,    2.5898       ,    0.0000    
0.61969       ,    8.0164       ,    2.6157       ,    0.0000    
0.62293       ,    9.6142       ,    2.6468       ,    0.0000    
0.62618       ,    10.281       ,    2.6801       ,    0.0000    
0.62942       ,    9.7262       ,    2.7115       ,    0.0000    
0.63267       ,    8.9028       ,    2.7403       ,    0.0000    
0.63591       ,    7.6453       ,    2.7650       ,    0.0000    
0.63915       ,    6.5581       ,    2.7862       ,    0.0000    
0.64240       ,    5.8755       ,    2.8052       ,    0.0000    
0.64564       ,    5.2307       ,    2.8221       ,    0.0000    
0.64889       ,    4.7714       ,    2.8375       ,    0.0000    
0.65213       ,    4.3737       ,    2.8517       ,    0.0000    
0.65537       ,    4.0746       ,    2.8649       ,    0.0000    
0.65862       ,    3.7753       ,    2.8771       ,    0.0000    
0.66186       ,    3.5010       ,    2.8884       ,    0.0000    
0.66511       ,    3.2008       ,    2.8987       ,    0.0000    
0.66835       ,    2.9009       ,    2.9081       ,    0.0000    
0.67159       ,    2.5671       ,    2.9164       ,    0.0000    
0.67484       ,    2.4079       ,    2.9242       ,    0.0000    
0.67808       ,    2.2819       ,    2.9316       ,    0.0000    
0.68133       ,    2.1876       ,    2.9386       ,    0.0000    
0.68457       ,    2.1765       ,    2.9457       ,    0.0000    
0.68781       ,    2.1461       ,    2.9526       ,    0.0000    
